"","EST","res","perc_res","dPSQ","Xlok","Garsonka","PocetIzieb","vlast","park_garaz","vytah","rok","podlazie","stav","konstr","vybav","stary_rek","RozlohaIzby","balkon_rozl","lodzia_rozl","terasa_rozl","wp"
"1075",984.003878959616,-41.6371466814098,-4.05962180143746,1025.64102564103,"599875","0","3","druzst","0","1","uplnenovy","ine","kompl_rek","panel","na","0",26,0,0,0,1
"1054",1239.60449789564,199.604497895643,19.1927401822734,1040,"598151","0","3","osobne","0","1","uplnenovy","ine","kompl_rek","panel","na","0",25,0,0,0,1
"1101",1104.0043045901,92.7543045900977,9.17224272831621,1011.25,"599816","0","4","osobne","0","1","sociknovy","ine","kompl_rek","panel","standard","0",20,0,0.05,0,1
"1050",989.847765189337,69.847765189337,7.59214839014533,920,"599875","0","3","druzst","0","1","sociknovy","ine","kompl_rek","panel","na","0",25,0,0.04,0,1
"1026",1081.29632039233,42.0806341178245,4.04926856605481,1039.21568627451,"599816","0","2","osobne","0","1","socikstary","ine","pov_stav","panel","na","0",25.5,0,0,0,1
"1045",573.720703953769,47.4049144800848,9.00693375121612,526.315789473684,"522279","0","3","druzst","0","0","uplnenovy","ine","ciast_rek","zmies","na","0",25.33,0,0,0,1
"1041",915.102150436225,122.419223606957,15.4436559011853,792.682926829268,"599875","0","3","osobne","0","1","socikstary","ine","ciast_rek","panel","na","0",27.33,0,0.049,0,1
"1048",1080.02101874865,30.0210187486482,2.8591446427284,1050,"598682","0","3","osobne","0","1","sociknovy","ine","ciast_rek","panel","na","0",20,0,0,0,1
"995",1393.81961861264,-28.0553813873576,-1.97312572394603,1421.875,"598224","0","1","osobne","0","1","sociknovy","prizem","kompl_rek","panel","standard","0",32,0,0,0,1
"1012",1351.58176804697,462.692879158083,52.0529489052843,888.888888888889,"599824","0","2","osobne","0","0","uplnenovy","ine","kompl_rek","zmies","na","0",27,0,0,0,1
